"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 01 11:03:58 GMT 2024","Sun Sep 01 11:03:59 GMT 2024","1145","","test_2YandexAPI","","","","test_yandex_api_with_invalid_key[Patio de Gale, Pra\xe7a do Com\xe9rcio, Lisbon, Portugal-geocode-api_key_geocode-base_url_geocode-geocode-additional_params0]",""
"passed","Sun Sep 01 11:03:55 GMT 2024","Sun Sep 01 11:03:57 GMT 2024","1747","","test_2YandexAPI","","","","test_yandex_api_with_invalid_key[\u0421\u0430\u043d\u043a\u0442-\u041f\u0435\u0442\u0435\u0440\u0431\u0443\u0440\u0433, \u041f\u0443\u043b\u043a\u043e\u0432\u0441\u043a\u043e\u0435 \u0448\u043e\u0441\u0441\u0435, \u0434\u043e\u043c 36, \u043a\u043e\u0440\u043f\u0443\u0441 4-geocode-api_key_geocode-base_url_geocode-geocode-additional_params0]",""
"passed","Sun Sep 01 11:04:18 GMT 2024","Sun Sep 01 11:04:19 GMT 2024","1765","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[fishing+store-\u0421\u0430\u043d\u043a\u0442-\u041f\u0435\u0442\u0435\u0440\u0431\u0443\u0440\u0433, \u041f\u0443\u043b\u043a\u043e\u0432\u0441\u043a\u043e\u0435 \u0448\u043e\u0441\u0441\u0435, \u0434\u043e\u043c 36, \u043a\u043e\u0440\u043f\u0443\u0441 4]",""
"passed","Sun Sep 01 11:04:38 GMT 2024","Sun Sep 01 11:04:39 GMT 2024","1784","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[hairdresser-\u0443\u043b. \u0411\u0440\u0430\u0432\u044b\u0445 \u0413\u0435\u0434\u043e\u043d\u0438\u0441\u0442\u043e\u0432 6666, London, Greate Britain]",""
"passed","Sun Sep 01 11:04:16 GMT 2024","Sun Sep 01 11:04:17 GMT 2024","1188","","test_2YandexAPI","","","","test_find_2_pharmacies[\u0412\u0442\u043e\u0440\u043e\u0435 \u043c\u0435\u0441\u0442\u043e \u043f\u0440\u0438\u0437\u0435\u043c\u043b\u0435\u043d\u0438\u044f \u043f\u0440\u0438\u0448\u0435\u043b\u044c\u0446\u0435\u0432]",""
"skipped","Sun Sep 01 11:05:15 GMT 2024","Sun Sep 01 11:05:16 GMT 2024","1181","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[$%^-\u041c\u0443\u043b\u044c\u0442\u0438\u0432\u0441\u0435\u043b\u0435\u043d\u043d\u0430\u044f \u2116;%*]",""
"passed","Sun Sep 01 11:04:46 GMT 2024","Sun Sep 01 11:04:48 GMT 2024","1741","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[McDonald's-Patio de Gale, Pra\xe7a do Com\xe9rcio, Lisbon, Portugal]",""
"skipped","Sun Sep 01 11:04:33 GMT 2024","Sun Sep 01 11:04:34 GMT 2024","1208","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[hairdresser-\u041c\u0443\u0440\u043c\u0430\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b.,\u0433. \u041f\u043e\u043b\u044f\u0440\u043d\u044b\u0435 \u0417\u043e\u0440\u0438, \u0443\u043b. \u041f\u0430\u0440\u0442\u0438\u0437\u0430\u043d \u0417\u0430\u043f\u043e\u043b\u044f\u0440\u044c\u044f 4]",""
"skipped","Sun Sep 01 11:04:29 GMT 2024","Sun Sep 01 11:04:29 GMT 2024","599","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[fishing+store-()-!!]",""
"passed","Sun Sep 01 11:03:59 GMT 2024","Sun Sep 01 11:04:01 GMT 2024","1148","","test_2YandexAPI","","","","test_yandex_api_with_invalid_key[Patio de Gale, Pra\xe7a do Com\xe9rcio, Lisbon, Portugal-geosearch-api_key_geosearch-base_url_geosearch-text-additional_params1]",""
