"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 01 10:48:43 GMT 2024","Sun Sep 01 10:48:44 GMT 2024","933","","test_2YandexAPI","","","","test_yandex_api_with_invalid_key[Patio de Gale, Pra\xe7a do Com\xe9rcio, Lisbon, Portugal-geocode-api_key_geocode-base_url_geocode-geocode-additional_params0]",""
"passed","Sun Sep 01 10:49:22 GMT 2024","Sun Sep 01 10:49:24 GMT 2024","1489","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[McDonald's-Patio de Gale, Pra\xe7a do Com\xe9rcio, Lisbon, Portugal]",""
"skipped","Sun Sep 01 10:49:45 GMT 2024","Sun Sep 01 10:49:46 GMT 2024","1518","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[$%^-\u0443\u043b. \u0411\u0440\u0430\u0432\u044b\u0445 \u0413\u0435\u0434\u043e\u043d\u0438\u0441\u0442\u043e\u0432 6666, London, Greate Britain]",""
"passed","Sun Sep 01 10:49:13 GMT 2024","Sun Sep 01 10:49:14 GMT 2024","1513","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[hairdresser-Patio de Gale, Pra\xe7a do Com\xe9rcio, Lisbon, Portugal]",""
"passed","Sun Sep 01 10:49:16 GMT 2024","Sun Sep 01 10:49:17 GMT 2024","1469","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[hairdresser-\u0443\u043b. \u0411\u0440\u0430\u0432\u044b\u0445 \u0413\u0435\u0434\u043e\u043d\u0438\u0441\u0442\u043e\u0432 6666, London, Greate Britain]",""
"passed","Sun Sep 01 10:48:44 GMT 2024","Sun Sep 01 10:48:45 GMT 2024","938","","test_2YandexAPI","","","","test_yandex_api_with_invalid_key[Patio de Gale, Pra\xe7a do Com\xe9rcio, Lisbon, Portugal-geosearch-api_key_geosearch-base_url_geosearch-text-additional_params1]",""
"skipped","Sun Sep 01 10:49:43 GMT 2024","Sun Sep 01 10:49:45 GMT 2024","1485","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[$%^-\u0421\u041f\u0431, \u041c\u0430\u0432\u0437\u043e\u043b\u0435\u0439]",""
"skipped","Sun Sep 01 10:48:53 GMT 2024","Sun Sep 01 10:48:53 GMT 2024","492","","test_2YandexAPI","","","","test_coords_from_geocode_and_geosearch_are_same[()-!!]",""
"passed","Sun Sep 01 10:49:20 GMT 2024","Sun Sep 01 10:49:21 GMT 2024","1478","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[McDonald's-\u0421\u041f\u0431 \u041f\u0430\u0440\u0430\u0448\u0423\u0442\u043d\u0430\u044f \u0443\u043b 65 \u0441\u0442\u0440 1]",""
"passed","Sun Sep 01 10:48:50 GMT 2024","Sun Sep 01 10:48:51 GMT 2024","1002","","test_2YandexAPI","","","","test_coords_from_geocode_and_geosearch_are_same[\u0443\u043b. \u0411\u0440\u0430\u0432\u044b\u0445 \u0413\u0435\u0434\u043e\u043d\u0438\u0441\u0442\u043e\u0432 6666, London, Greate Britain]",""
